gene,sector,Product,function,functional class,general class,location,envelope_function,COG_functionname,COG_function,COG-id,cAMP
murR,a-sector,DNA-binding transcriptional dual regulator MurR,,,,CP,,Transcription,K,COG1737,no
mutH,rca-sector,DNA mismatch repair protein MutH,,,,CP,,"Replication, recombination and repair",L,COG3066,no
mutL,ra-sector,DNA mismatch repair protein MutL,,,,CP,,"Replication, recombination and repair",L,COG0323,no
mutM,r-sector,DNA-formamidopyrimidine glycosylase,,,,CP,,"Replication, recombination and repair",L,COG0266,no
mutS,r-sector,DNA mismatch repair protein MutS,,,,CP,,"Replication, recombination and repair",L,COG0249,no
mutT,rca-sector,8-oxo-dGTP diphosphatase,,,,CP,,Defense mechanisms,V,COG0494,no
mutY,u-sector,adenine DNA glycosylase,,,,CP,,"Replication, recombination and repair",L,COG1194,no
mzrA,a-sector,modulator protein MzrA,,,,IM,other,notdefined,notdefined,,no
nac,a-sector,DNA-binding transcriptional dual regulator Nac,,,,CP,,Transcription,K,COG0583,no
nadA,a-sector,quinolinate synthase,,,,CP,,Coenzyme transport and metabolism,H,COG0379,no
nadB,a-sector,L-aspartate oxidase,,,,CP,,Coenzyme transport and metabolism,H,COG0029,no
nadC,a-sector,quinolinate phosphoribosyltransferase (decarboxylating),,,,CP,,Coenzyme transport and metabolism,H,COG0157,no
nadD,rca-sector,NICONUCADENYLYLTRAN-MONOMER,,,,CP,,Coenzyme transport and metabolism,H,COG1057,no
nadE,a-sector,"NAD synthetase, NH<sub>3</sub>-dependent",,,,CP,,Coenzyme transport and metabolism,H,COG0171,no
nadK,a-sector,NAD kinase,,,,CP,,Nucleotide transport and metabolism,F,COG0061,no
nadR,a-sector,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,,,,CP,,Coenzyme transport and metabolism,H,COG0669,no
nagA,s-sector,<i>N</i>-acetylglucosamine-6-phosphate deacetylase,,,,CP,,Carbohydrate transport and metabolism,G,COG1820,no
nagB,s-sector,glucosamine-6-phosphate deaminase,,,,CP,,Carbohydrate transport and metabolism,G,COG0363,yes
nagC,u-sector,DNA-binding transcriptional dual regulator NagC,,,,CP,,Transcription,K,COG1846,no
nagE,rc-sector,N-acetylglucosamine-specific PTS enzyme IIABC component,sugar transport,carbon uptake,transport,IM,transporter,Carbohydrate transport and metabolism,G,COG1263,yes
nagK,s-sector,<i>N</i>-acetyl-D-glucosamine kinase,,,,CP,,notdefined,KG,COG1940,no
nagZ,ra-sector,&beta;-N-acetylhexosaminidase,,,,CP,,Carbohydrate transport and metabolism,G,COG1472,no
nanA,c-sector,<i>N</i>-acetylneuraminate lyase,,,,CP,,notdefined,EM,COG0329,yes
nanC,rca-sector,<i>N</i>-acetylneuraminic acid outer membrane channel,,,,OM,other,notdefined,notdefined,,yes
nanE,s-sector,putative <i>N</i>-acetylmannosamine-6-phosphate epimerase,,,,CP,,Carbohydrate transport and metabolism,G,COG3010,no
nanK,s-sector,<i>N</i>-acetylmannosamine kinase,,,,CP,,notdefined,KG,COG1940,no
nanM,rca-sector,<i>N</i>-acetylneuraminate mutarotase,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG3055,no
nanR,a-sector,DNA-binding transcriptional dual regulator NanR,,,,CP,,Transcription,K,COG2186,no
nanS,rca-sector,<i>N</i>-acetyl-9-<i>O</i>-acetylneuraminate esterase,,,,CP,,notdefined,notdefined,,no
nanT,s-sector,<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2814,no
napA,a-sector,periplasmic nitrate reductase subunit NapA,,,,PE,other,Energy production and conversion,C,COG0243,no
napB,a-sector,periplasmic nitrate reductase cytochrome c<SUB>550</SUB> protein,,,,PE,other,notdefined,CP,COG3043,no
napC,s-sector,periplasmic nitrate reductase cytochrome c protein,,,,IM,other,Energy production and conversion,C,COG3005,no
napD,a-sector,NapA signal peptide-binding chaperone NapD,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG3062,no
napF,a-sector,ferredoxin-type protein,,,,CP,,Energy production and conversion,C,COG1145,no
napG,a-sector,ferredoxin-type protein NapG,,,,PE,other,Energy production and conversion,C,COG1145,no
napH,a-sector,ferredoxin-type protein NapH,,,,IM,other,Energy production and conversion,C,COG0348,no
narG,a-sector,nitrate reductase A subunit &alpha;,,,,CP,,notdefined,CP,COG5013,no
narH,rca-sector,nitrate reductase A subunit &beta;,,,,CP,,notdefined,CP,COG1140,no
narI,rca-sector,nitrate reductase A subunit &gamma;,,,,IM,other,notdefined,CP,COG2181,no
narJ,rca-sector,nitrate reductase 1 molybdenum cofactor assembly chaperone,,,,CP,,notdefined,CPO,COG2180,no
narK,a-sector,nitrate:nitrite antiporter NarK,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG2223,no
narL,a-sector,"Phosphorylated DNA-binding transcriptional dual regulator NarL // ""DNA-binding transcriptional dual regulator NarL""",,,,CP,,notdefined,TK,COG2197,no
narP,ra-sector,"Phosphorylated DNA-binding transcriptional dual regulator NarP // ""DNA-binding transcriptional dual regulator NarP""",,,,CP,,notdefined,TK,COG2197,no
narQ,a-sector,"sensory histidine kinase NarQ  - phosphorylated // ""sensory histidine kinase NarQ""",,,,IM,other,Signal transduction mechanisms,T,COG3850,no
narU,rca-sector,nitrate/nitrite transporter NarU,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG2223,no
narV,s-sector,nitrate reductase Z subunit &gamma;,,,,IM,other,notdefined,CP,COG2181,no
narW,s-sector,"NarW, putative private chaperone for NarZ nitrate reductase subunit",,,,CP,,notdefined,CPO,COG2180,no
narX,a-sector,sensory histidine kinase NarX,,,,IM,other,Signal transduction mechanisms,T,COG3850,no
narY,rca-sector,nitrate reductase Z subunit &beta;,,,,CP,,notdefined,CP,COG1140,no
narZ,rca-sector,nitrate reductase Z subunit &alpha;,,,,CP,,notdefined,CP,COG5013,yes
ndh,u-sector,NADH:quinone oxidoreductase II,,,,IM,other,Energy production and conversion,C,COG1252,no
ndk,c-sector,nucleoside diphosphate kinase,,,,CP,,Nucleotide transport and metabolism,F,COG0105,no
nei,ra-sector,endonuclease VIII,,,,CP,,"Replication, recombination and repair",L,COG0266,no
nemA,ra-sector,<i>N</i>-ethylmaleimide reductase,,,,CP,,Energy production and conversion,C,COG1902,no
nemR,rca-sector,DNA-binding transcriptional repressor NemR,,,,CP,,Transcription,K,COG1309,no
nepI,ra-sector,purine ribonucleoside exporter,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2814,yes
nfi,a-sector,endonuclease V,,,,CP,,"Replication, recombination and repair",L,COG1515,no
nfo,a-sector,endonuclease IV,,,,CP,,"Replication, recombination and repair",L,COG0648,no
nfrA,ra-sector,"bacteriophage N4 receptor, outer membrane protein",,,,OM,other,General function prediction only,R,COG4783,no
nfrB,rca-sector,"bacteriophage N4 receptor, inner membrane subunit",,,,IM,other,Cell motility,N,COG1215,no
nfsA,a-sector,NADPH-dependent nitroreductase NfsA,,,,CP,,Energy production and conversion,C,COG0778,no
nfsB,u-sector,NAD(P)H nitroreductase NfsB,,,,CP,,Energy production and conversion,C,COG0778,no
nfuA,rc-sector,iron-sulfur cluster carrier protein NfuA,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0316,no
nhaA,s-sector,Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA,,,,IM,transporter,notdefined,CP,COG3004,no
nhaB,rca-sector,Na<sup>+</sup>:H<sup>+</sup> antiporter NhaB,,,,IM,transporter,notdefined,CP,COG3067,no
nhaR,rca-sector,DNA-binding transcriptional activator NhaR,,,,CP,,Transcription,K,COG0583,no
nhoA,s-sector,arylamine <i>N</i>-acetyltransferase,,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG2162,no
nikA,s-sector,Ni(2+) ABC transporter periplasmic binding protein,,,,PE,transporter,Amino acid transport and metabolism,E,COG0747,no
nikB,s-sector,Ni(2+) ABC transporter membrane subunit NikB,,,,IM,transporter,notdefined,EP,COG0601,no
nikC,s-sector,Ni(2+) ABC transporter membrane subunit NikC,,,,IM,transporter,notdefined,EP,COG1173,no
nikD,s-sector,Ni(2+) ABC transporter ATP binding subunit NikD,,,,CP,,notdefined,EP,COG0444,no
nikE,ra-sector,Ni(2+) ABC transporter ATP binding subunit NikE,,,,CP,,notdefined,EP,COG1124,no
nikR,a-sector,DNA-binding transcriptional repressor NikR,,,,CP,,Transcription,K,COG0864,no
nimR,rca-sector,DNA-binding transcriptional repressor NimR,,,,CP,,General function prediction only,R,COG1917,no
nimT,rca-sector,2-nitroimidazole exporter,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG2807,no
ninE,rca-sector,DLP12 prophage; NinE family prophage protein,,,,CP,,notdefined,notdefined,,no
nirB,a-sector,nitrite reductase catalytic subunit NirB,,,,CP,,Energy production and conversion,C,COG1251,yes
nirC,a-sector,NIRC-MONOMER,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG2116,no
nirD,a-sector,nitrite reductase subunit NirD,,,,CP,,notdefined,PQ,COG2146,no
nlpA,a-sector,lipoprotein-28,,,,LPI,lipoprotein,Inorganic ion transport and metabolism,P,COG1464,no
nlpC,s-sector,NlpC/P60 family lipoprotein NlpC,,,,LPO,lipoprotein,Cell wall/membrane/envelope biogenesis,M,COG0791,no
nlpD,rca-sector,murein hydrolase activator NlpD,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG1388,no
nlpE,rca-sector,lipoprotein NlpE,,,,LPO,lipoprotein,notdefined,MV,COG3015,no
nlpI,rca-sector,lipoprotein NlpI,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG4785,no
nmpC,u-sector,DLP12 prophage; putative outer membrane porin NmpC,,,,OM,transporter,notdefined,notdefined,,yes
nohA,s-sector,Qin prophage; putative prophage DNA-packaging protein NohA,,,,CP,,notdefined,notdefined,,no
nohB,s-sector,,,,,CP,,"Mobilome: prophages, transposons",X,COG4220,no
norR,ra-sector,DNA-binding transcriptional dual regulator NorR,,,,CP,,Signal transduction mechanisms,T,COG2203,no
norV,rca-sector,anaerobic nitric oxide reductase flavorubredoxin,,,,CP,,Energy production and conversion,C,COG0426,no
norW,rca-sector,EG12450-MONOMER,,,,CP,,Lipid transport and metabolism,I,COG0446,no
npr,s-sector,"Npr phosphorylated // ""phosphorelay protein Npr""",,,,CP,,notdefined,TG,COG1925,no
nrdA,u-sector,ribonucleoside-diphosphate reductase 1 subunit &alpha;,,,,CP,,Nucleotide transport and metabolism,F,COG0209,yes
nrdB,a-sector,ribonucleoside-diphosphate reductase 1 subunit &beta;,,,,CP,,Nucleotide transport and metabolism,F,COG0208,no
nrdD,s-sector,anaerobic ribonucleoside-triphosphate reductase,,,,CP,,Transcription,K,COG1327,yes
nrdE,rc-sector,ribonucleoside-diphosphate reductase 2 subunit &alpha;,,,,CP,,Nucleotide transport and metabolism,F,COG0209,no
nrdF,rc-sector,ribonucleoside-diphosphate reductase 2 subunit &beta;,,,,CP,,Nucleotide transport and metabolism,F,COG0208,no
nrdG,rca-sector,anaerobic ribonucleoside-triphosphate reductase activating protein,,,,CP,,General function prediction only,R,COG0602,no
nrdH,rc-sector,glutaredoxin-like protein,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0695,no
nrdI,rc-sector,dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI,,,,CP,,Nucleotide transport and metabolism,F,COG1780,no
nrdR,ra-sector,NrdR transcriptional repressor,,,,CP,,Transcription,K,COG1327,no
nrfA,s-sector,cytochrome <i>c</i><sub>552</sub> nitrite reductase,,,,PE,other,Inorganic ion transport and metabolism,P,COG3303,no
nrfB,rca-sector,periplasmic nitrite reductase penta-heme <i>c</i>-type cytochrome,,,,PE,other,Inorganic ion transport and metabolism,P,COG3303,no
nrfC,rca-sector,putative menaquinol-cytochrome <i>c</i> reductase 4Fe-4S subunit,,,,PE,other,Energy production and conversion,C,COG0437,no
nrfD,rca-sector,putative menaquinol-cytochrome <i>c</i> reductase subunit NrfD,,,,IM,other,Inorganic ion transport and metabolism,P,COG3301,no
nrfE,rca-sector,putative cytochrome c-type biogenesis protein NrfE,,,,IM,other,notdefined,CO,COG1138,no
nrfF,rca-sector,putative formate-dependent nitrite reductase complex subunit NrfF,,,,PE,other,notdefined,CO,COG3088,no
nrfG,rca-sector,putative formate-dependent nitrite reductase complex subunit NrfG,,,,LPO,other,notdefined,CO,COG4235,no
nsrR,ra-sector,DNA-binding transcriptional repressor NsrR,,,,CP,,Transcription,K,COG1959,no
nth,ra-sector,endonuclease III,,,,CP,,"Replication, recombination and repair",L,COG0177,no
nudB,ra-sector,dihydroneopterin triphosphate diphosphatase,,,,CP,,Defense mechanisms,V,COG0494,no
nudC,ra-sector,NADH pyrophosphatase,,,,CP,,Nucleotide transport and metabolism,F,COG2816,no
nudE,rca-sector,ADP-sugar diphosphatase NudE,,,,CP,,Defense mechanisms,V,COG0494,no
nudF,s-sector,ADP-sugar pyrophosphatase,,,,CP,,Defense mechanisms,V,COG0494,no
nudG,c-sector,5-hydroxy-CTP diphosphatase,,,,CP,,Defense mechanisms,V,COG0494,no
nudI,rca-sector,pyrimidine deoxynucleotide diphosphatase NudI,,,,CP,,Defense mechanisms,V,COG0494,no
nudJ,a-sector,phosphatase NudJ,,,,CP,,Nucleotide transport and metabolism,F,COG1051,no
nudK,a-sector,GDP-mannose hydrolase,,,,CP,,Defense mechanisms,V,COG0494,no
nudL,ra-sector,putative NUDIX hydrolase with low 3-phosphohydroxypyruvate phosphatase activity,,,,CP,,notdefined,notdefined,,no
nuoA,rca-sector,NADH:quinone oxidoreductase subunit A,,,,IM,other,Energy production and conversion,C,COG0838,yes
nuoB,rca-sector,NADH:quinone oxidoreductase subunit B,,,,CP,,Energy production and conversion,C,COG0377,no
nuoC,rca-sector,NADH:quinone oxidoreductase subunit CD,,,,CP,,Energy production and conversion,C,COG0649,no
nuoE,rc-sector,NADH:quinone oxidoreductase subunit E,,,,CP,,Energy production and conversion,C,COG1905,no
nuoF,rca-sector,NADH:quinone oxidoreductase subunit F,,,,CP,,Energy production and conversion,C,COG1894,no
nuoG,rca-sector,NADH:quinone oxidoreductase subunit G,,,,CP,,Energy production and conversion,C,COG1034,no
nuoH,rc-sector,NADH:quinone oxidoreductase subunit H,,,,IM,other,Energy production and conversion,C,COG1005,no
nuoI,rca-sector,NADH:quinone oxidoreductase subunit I,,,,IM,other,Energy production and conversion,C,COG1143,no
nuoJ,rca-sector,NADH:quinone oxidoreductase subunit J,,,,IM,other,Energy production and conversion,C,COG0839,no
nuoK,ra-sector,NADH:quinone oxidoreductase subunit K,,,,IM,other,Energy production and conversion,C,COG0713,no
nuoL,rca-sector,NADH:quinone oxidoreductase subunit L,,,,IM,other,notdefined,CP,COG1009,no
nuoM,s-sector,NADH:quinone oxidoreductase subunit M,,,,IM,other,Energy production and conversion,C,COG1008,no
nuoN,s-sector,NADH:quinone oxidoreductase subunit N,,,,IM,other,Energy production and conversion,C,COG1007,no
nupC,u-sector,nucleoside:H<sup>+</sup> symporter NupC,,,,IM,transporter,Nucleotide transport and metabolism,F,COG1972,yes
nupG,s-sector,nucleoside:H<sup>+</sup> symporter NupG,,,,IM,transporter,notdefined,notdefined,,yes
nupX,rca-sector,putative nucleoside transporter,,,,IM,transporter,Nucleotide transport and metabolism,F,COG1972,no
nusA,r-sector,transcription termination/antitermination protein NusA,,,,CP,,Transcription,K,COG0195,no
nusB,r-sector,transcription antitermination protein NusB,,,,CP,,Transcription,K,COG0781,no
nusG,ra-sector,transcription termination factor NusG,,,,CP,,Transcription,K,COG0250,no
obgE,ra-sector,GTPase ObgE,,,,CP,,notdefined,DL,COG0536,no
ogrK,ra-sector,prophage P2 late control protein OgrK,,,,CP,,notdefined,notdefined,,no
ogt,s-sector,methylated-DNA&mdash;[protein]-cysteine <i>S</i>-methyltransferase,,,,CP,,"Replication, recombination and repair",L,COG0350,no
ompA,u-sector,outer membrane porin A,,,,OM,membrane protein,Cell wall/membrane/envelope biogenesis,M,COG2885,yes
ompC,s-sector,outer membrane porin C,,,,OM,transporter,Cell wall/membrane/envelope biogenesis,M,COG3203,no
ompF,c-sector,outer membrane porin F,metabolite uptake,general transport,transport,OM,transporter,Cell wall/membrane/envelope biogenesis,M,COG3203,yes
ompG,rca-sector,outer membrane porin G,,,,OM,transporter,notdefined,notdefined,,no
ompL,rca-sector,putative outer membrane porin L,,,,OM,transporter,notdefined,notdefined,,no
ompN,rca-sector,outer membrane porin N,,,,OM,other,Cell wall/membrane/envelope biogenesis,M,COG3203,no
ompR,s-sector,"OmpR-Phosphorylated // ""DNA-binding transcriptional dual regulator OmpR""",,,,CP,,notdefined,TK,COG0745,yes
ompT,r-sector,outer membrane protease VII (outer membrane protein 3b),,,,OM,membrane protein,Cell wall/membrane/envelope biogenesis,M,COG4571,no
ompW,a-sector,outer membrane protein W,,,,OM,membrane protein,Cell wall/membrane/envelope biogenesis,M,COG3047,no
ompX,a-sector,outer membrane protein X,,,,OM,membrane protein,Cell wall/membrane/envelope biogenesis,M,COG3637,no
opgB,rc-sector,"phosphoglycerol transferase II // ""phosphoglycerol transferase I""",,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG1368,no
opgC,rc-sector,protein required for succinyl modification of osmoregulated periplasmic glucans,,,,IM,membrane protein,Cell wall/membrane/envelope biogenesis,M,COG1835,no
opgD,s-sector,glucan biosynthesis protein D,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG3131,no
opgE,ra-sector,G6418-MONOMER,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG2194,no
opgG,c-sector,osmoregulated periplasmic glucans (OPGs) biosynthesis protein G,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG3131,no
opgH,rca-sector,osmoregulated periplasmic glucans (OPGs) biosynthesis protein H,,,,IM,other,notdefined,MG,COG2943,no
oppA,s-sector,oligopeptide ABC transporter periplasmic binding protein,oligopeptide transporter,general transport,transport,PE,transporter,Amino acid transport and metabolism,E,COG4166,no
oppB,s-sector,murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppB,,,,IM,transporter,notdefined,EP,COG0601,no
oppC,rca-sector,murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppC,,,,IM,transporter,notdefined,EP,COG1173,no
oppD,s-sector,murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppD,,,,CP,,notdefined,EP,COG0444,no
oppF,s-sector,murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppF,,,,CP,,Amino acid transport and metabolism,E,COG4608,no
orn,a-sector,oligoribonuclease,,,,CP,,RNA processing and modification,A,COG1949,no
ortT,rca-sector,orphan toxin OrtT,,,,IM,membrane protein,notdefined,notdefined,,no
osmB,ra-sector,osmotically-inducible lipoprotein OsmB,,,,LPO,lipoprotein,notdefined,notdefined,,no
osmC,s-sector,osmotically inducible peroxiredoxin OsmC,,,,CP,,Defense mechanisms,V,COG1764,no
osmE,s-sector,osmotically-inducible lipoprotein OsmE,,,,LPO,other,Cell wall/membrane/envelope biogenesis,M,COG2913,no
osmF,rca-sector,glycine betaine ABC transporter periplasmic binding protein OsmF,,,,PE,transporter,Cell wall/membrane/envelope biogenesis,M,COG1732,no
osmY,a-sector,periplasmic chaperone OsmY,,,,PE,other,Function unknown,S,COG2823,yes
otsA,s-sector,TREHALOSE6PSYN-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG0380,no
otsB,s-sector,TREHALOSEPHOSPHASYN-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG1877,yes
oxc,rca-sector,oxalyl-CoA decarboxylase,,,,CP,,notdefined,EH,COG0028,no
oxyR,s-sector,DNA-binding transcriptional dual regulator OxyR,,,,CP,,Transcription,K,COG0583,yes
paaA,s-sector,"phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit",,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG3396,yes
paaB,s-sector,"phenylacetyl-CoA 1,2-epoxidase subunit B",,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG3460,no
paaC,rca-sector,"phenylacetyl-CoA 1,2-epoxidase, structural subunit",,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG3396,no
paaD,s-sector,phenylacetate degradation protein,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG2151,no
paaE,rca-sector,"phenylacetyl-CoA 1,2-epoxidase, reductase subunit",,,,CP,,Energy production and conversion,C,COG1018,no
paaF,rca-sector,"putative 2,3-dehydroadipyl-CoA hydratase",,,,CP,,Lipid transport and metabolism,I,COG1024,no
paaG,rca-sector,"putative ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",,,,CP,,Lipid transport and metabolism,I,COG1024,no
paaH,rca-sector,G6716-MONOMER,,,,CP,,Lipid transport and metabolism,I,COG1250,no
paaI,rca-sector,phenylacetyl-CoA thioesterase,,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG2050,no
paaJ,rca-sector,&beta;-ketoadipyl-CoA thiolase,,,,CP,,Lipid transport and metabolism,I,COG0183,no
paaK,rca-sector,phenylacetate-CoA ligase,,,,CP,,Coenzyme transport and metabolism,H,COG1541,no
paaX,s-sector,DNA-binding transcriptional repressor PaaX,,,,CP,,Transcription,K,COG3327,no
paaY,s-sector,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",,,,CP,,General function prediction only,R,COG0663,no
paaZ,rca-sector,"oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase",,,,CP,,Energy production and conversion,C,COG1012,yes
pabA,ra-sector,aminodeoxychorismate synthase subunit 2,,,,CP,,notdefined,EH,COG0512,no
pabB,ra-sector,aminodeoxychorismate synthase subunit 1,,,,CP,,notdefined,EH,COG0147,no
pabC,rca-sector,aminodeoxychorismate lyase,,,,CP,,notdefined,EH,COG0115,no
pagP,s-sector,Lipid IV<sub>A</sub> palmitoyltransferase,,,,OM,other,notdefined,notdefined,,no
pal,u-sector,peptidoglycan-associated outer membrane lipoprotein Pal,,,,LPO,lipoprotein,Cell wall/membrane/envelope biogenesis,M,COG2885,no
panB,u-sector,3-methyl-2-oxobutanoate hydroxymethyltransferase,,,,CP,,Coenzyme transport and metabolism,H,COG0413,no
panC,a-sector,pantothenate synthetase,,,,CP,,Coenzyme transport and metabolism,H,COG0414,no
panD,a-sector,"PanD &beta; cleavage product // ""PanD &alpha; cleavage product"" // ""aspartate 1-decarboxylase proenzyme""",,,,CP,,Coenzyme transport and metabolism,H,COG0853,no
panE,a-sector,2-dehydropantoate 2-reductase,,,,CP,,Coenzyme transport and metabolism,H,COG1893,no
panF,r-sector,PANF-MONOMER,,,,IM,other,Coenzyme transport and metabolism,H,COG4145,no
panZ,rca-sector,"acetyl-CoA-bound PanD maturation factor // ""PanD maturation factor""",,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0456,no
paoA,rca-sector,"aldehyde dehydrogenase, Fe-S subunit",,,,CP,,Energy production and conversion,C,COG2080,no
paoB,rca-sector,"aldehyde dehydrogenase, FAD-binding subunit",,,,CP,,Energy production and conversion,C,COG1319,no
paoC,rca-sector,aldehyde dehydrogenase: molybdenum cofactor-binding subunit,,,,CP,,Energy production and conversion,C,COG1529,no
paoD,rca-sector,molybdenum cofactor insertion chaperone PaoD,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1975,no
parC,r-sector,DNA topoisomerase IV subunit A,,,,CP,,"Replication, recombination and repair",L,COG0188,no
parE,ra-sector,DNA topoisomerase IV subunit B,,,,CP,,"Replication, recombination and repair",L,COG0187,no
patA,s-sector,putrescine aminotransferase,,,,CP,,Amino acid transport and metabolism,E,COG4992,no
patD,rca-sector,&gamma;-aminobutyraldehyde dehydrogenase,,,,CP,,Energy production and conversion,C,COG1012,no
patZ,s-sector,peptidyl-lysine <i>N</i>-acetyltransferase,,,,CP,,Energy production and conversion,C,COG0045,no
pbl,s-sector,transglycosylase domain-containing protein Pbl,,,,CP,,notdefined,notdefined,,no
pbpC,rca-sector,peptidoglycan glycosyltransferase PbpC,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG4953,no
pbpG,s-sector,peptidoglycan DD-endopeptidase PbpG,,,,PE,other,Cell wall/membrane/envelope biogenesis,M,COG1686,no
pck,s-sector,PEPCARBOXYKIN-MONOMER,gluconeogenesis,catabolism,catabolism,CP,,Energy production and conversion,C,COG1866,yes
pcm,rca-sector,L-isoaspartate protein carboxylmethyltransferase type II,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG2518,no
pcnB,r-sector,poly(A) polymerase I,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0617,no
pdeA,rca-sector,putative c-di-GMP phosphodiesterase PdeA,,,,IM,other,Signal transduction mechanisms,T,COG2199,no
pdeB,s-sector,c-di-GMP phosphodiesterase PdeB,,,,IM,membrane protein,Signal transduction mechanisms,T,COG4943,no
pdeC,s-sector,c-di-GMP phosphodiesterase PdeC,,,,IM,other,Signal transduction mechanisms,T,COG4943,no
pdeD,rca-sector,putative c-di-GMP phosphodiesterase PdeD,,,,CP,,Signal transduction mechanisms,T,COG2200,no
pdeF,rca-sector,cyclic di-GMP phosphodiesterase PdeF,,,,IM,membrane protein,Signal transduction mechanisms,T,COG2199,no
pdeG,rca-sector,putative c-di-GMP phosphodiesterase PdeG,,,,IM,membrane protein,Signal transduction mechanisms,T,COG2200,no
pdeH,c-sector,c-di-GMP phosphodiesterase PdeH,,,,CP,,Signal transduction mechanisms,T,COG2200,no
pdeI,a-sector,putative c-di-GMP phosphodiesterase PdeI,,,,IM,membrane protein,Signal transduction mechanisms,T,COG2200,no
pdeK,a-sector,putative c-di-GMP phosphodiesterase PdeK,,,,IM,other,Signal transduction mechanisms,T,COG2199,no
pdeL,ra-sector,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,,,,CP,,Signal transduction mechanisms,T,COG2200,no
pdeN,s-sector,putative c-di-GMP phosphodiesterase PdeN,,,,IM,other,Signal transduction mechanisms,T,COG2200,no
pdeR,rca-sector,cyclic di-GMP phosphodiesterase PdeR,,,,CP,,Signal transduction mechanisms,T,COG5001,no
pdhR,u-sector,DNA-binding transcriptional dual regulator PdhR,,,,CP,,Transcription,K,COG2186,yes
pdxA,rca-sector,4-hydroxythreonine-4-phosphate dehydrogenase,,,,CP,,Coenzyme transport and metabolism,H,COG1995,no
pdxB,a-sector,erythronate-4-phosphate dehydrogenase,,,,CP,,notdefined,HR,COG0111,no
pdxH,s-sector,pyridoxal 5-phosphate synthase,,,,CP,,Coenzyme transport and metabolism,H,COG0259,no
pdxJ,a-sector,pyridoxine 5'-phosphate synthase,,,,CP,,Coenzyme transport and metabolism,H,COG0854,no
pdxK,a-sector,pyridoxal kinase I,,,,CP,,Coenzyme transport and metabolism,H,COG2240,no
pdxY,a-sector,pyridoxal kinase 2,,,,CP,,Coenzyme transport and metabolism,H,COG2240,no
pepA,r-sector,aminopeptidase A/I,,,,CP,,Amino acid transport and metabolism,E,COG0260,no
pepB,rc-sector,aminopeptidase B,,,,CP,,Amino acid transport and metabolism,E,COG0260,no
pepD,a-sector,peptidase D,,,,CP,,Amino acid transport and metabolism,E,COG2195,no
pepE,s-sector,peptidase E,,,,CP,,Amino acid transport and metabolism,E,COG3340,no
pepN,rca-sector,aminopeptidase N,,,,CP,,Amino acid transport and metabolism,E,COG0308,no
pepP,a-sector,Xaa-Pro aminopeptidase,,,,CP,,Amino acid transport and metabolism,E,COG0006,no
pepQ,a-sector,Xaa-Pro dipeptidase,,,,CP,,Amino acid transport and metabolism,E,COG0006,no
